item,name,positionItem,position,start,end,psid
Q100786539,Teresa Efua Asangono,Q28555503,,1999-07-22,2004-06-15,Q100786539-5E9AC96C-0692-4649-A6B6-0AA41042456D
Q108426370,Miguel Oyono Ndong Mifumu,Q112162701,Vice-Prime Minister,1999-07-22,2001-02-26,Q108426370-B6E23585-A27E-4F16-B124-404F13AB9CFF
Q108426370,Miguel Oyono Ndong Mifumu,Q111021197,Minister of Agriculture,2012-05-22,2013-09-04,Q108426370-B81F56D0-09CD-4A2C-AB82-0B7D37624819
Q112054486,Diosdado Vicente Nsue Milang,Q111020058,Health Minister of Equatorial Guinea,2013-09-04,2016-06-24,Q112054486-BB9CD7DF-D0F1-41EC-9702-F0F5B81BE787
Q112128467,Jesusa Obono Engono,Q28555503,,2004-06-15,2006-08-22,Q112128467-11ADEB67-FD27-4A8A-86A2-693DBA9DE5A5
Q112128482,Hilario Sisa Torrez,Q112174406,Finance and Budget,2004-01-01,2006-01-01,Q112128482-91AEB441-9E95-4FB8-9553-EF754E133C3C
Q112128482,Hilario Sisa Torrez,Q112174462,Tourism and Culture,2003-01-01,2004-01-01,Q112128482-EDF091CE-A708-4309-A540-FD8B78AB9AB4
Q112128487,Santiago Ngua Nfumu Eyang,Q111021199,Minister of National Education,1998-01-23,2001-03-09,Q112128487-C31A62B3-125A-4BBD-870E-85B7C1021C30
Q112128490,Marcelino Oyono Ntutumu,Q112162698,Minister of Urban Planning and Infrastructure,2008-07-15,2011-02-19,Q112128490-2A9F7D6A-82AA-4A37-AEA2-CBC2F19B0DBF
Q112128490,Marcelino Oyono Ntutumu,Q112162697,Minister of Transport,1998-01-23,2004-06-15,Q112128490-5C3282DC-34E2-45CB-B6CA-9E2426A77CBB
Q112128490,Marcelino Oyono Ntutumu,Q112162701,Vice-Prime Minister,2004-06-15,2006-08-22,Q112128490-DF8D525C-1B5D-40D8-A9C7-A9AB6855E285
Q112128491,Mauricio Bokung Asumu,Q112162697,Minister of Transport,2011-01-28,2012-05-22,Q112128491-01451C00-34AE-4989-96A9-E595C1ACA08F
Q112128491,Mauricio Bokung Asumu,Q112162665,Minister of Administrative Coordination,2010-01-12,2011-01-28,Q112128491-2D71B1CD-806C-436F-8922-A5B816931189
Q112128491,Mauricio Bokung Asumu,Q111021204,Minister of Labor,2008-07-15,2010-01-12,Q112128491-804CF7F7-0151-4316-85E1-C929B69F670F
Q112128491,Mauricio Bokung Asumu,Q111021203,Minister of Justice,2006-08-22,2008-07-15,Q112128491-EFCAD6CB-EF0A-4614-BA60-9340C08942B8
Q112128507,Atanasio Ela Ntugu Nsa,Q112162677,Minister of Mines,2004-06-15,2008-07-15,Q112128507-2C03F394-2131-467C-B2CE-F4A323E6B61F
Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,2003-02-11,2004-06-15,Q112128517-4225B555-AFE8-44CB-B0B1-747F07BECDFE
Q112128517,Demetrio Elo Ndong Nsefumu,Q112162697,Minister of Transport,2004-06-15,2006-06-15,Q112128517-4D784366-630B-4E85-91FC-8E8F6DA2C89F
Q112128517,Demetrio Elo Ndong Nsefumu,Q111021204,Minister of Labor,2006-06-15,2006-08-22,Q112128517-503D8498-D04D-45F8-A393-C6A896C068C5
Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,2006-08-22,2011-02-19,Q112128517-7EDC2605-E3F6-4662-9DE3-DA84517AF00C
Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,2011-02-19,2012-05-22,Q112128517-E37687C3-B272-470C-B107-7573C12B7A37
Q112128517,Demetrio Elo Ndong Nsefumu,Q112162701,Vice-Prime Minister,1999-07-22,2001-02-26,Q112128517-EEE8E0C7-F580-433F-9449-694B2845277C
Q112128523,Salomon Nguema Obono,Q112174480,Health and Social Welfare,2018-01-01,2020-01-01,Q112128523-0283142E-72AA-47EE-837F-7ED8B031CAB8
Q112128523,Salomón Nguema Owono,Q111020058,Health Minister of Equatorial Guinea,2016-06-24,2019-12-31,Q112128523-098979BA-DA94-4C47-8FE4-ACF8E7C87150
Q112128523,Salomón Nguema Owono,Q112162701,Vice-Prime Minister,2011-01-28,2012-05-22,Q112128523-19F1593A-D639-4F43-9C56-554A169D97E4
Q112128523,Salomón Nguema Owono,Q112162701,Vice-Prime Minister,2008-07-15,2011-01-28,Q112128523-44607A66-782B-437F-A18C-D1050B315366
Q112128524,Cristóbal Meñana Ela,Q112162677,Minister of Mines,1999-07-22,2004-06-15,Q112128524-849FD757-51DB-4F39-8915-43FB39B402CC
Q112128524,Cristóbal Meñana Ela,Q111021199,Minister of National Education,2004-06-15,2008-07-15,Q112128524-D287ACAE-5571-4B0C-8CB9-5853F97E1502
Q112128528,Fidel-Marcos Meñe Ncogo,Q112174445,Energy,2012-01-01,2018-01-01,Q112128528-98B32568-CED8-4D33-AA74-B9894AE9EF4A
Q112128529,Antonio Fernando Nve Ngu,Q111021199,Minister of National Education,2001-03-09,2003-02-11,Q112128529-16CC9293-0918-4129-BC9E-7911947787D8
Q112128529,Antonio Fernando Nve Ngu,Q112162680,Minister of Parliament Relations,1999-07-22,2001-03-09,Q112128529-17BC7481-FAA7-4755-B1E5-193FE929EA12
Q112128529,Antonio Fernando Nve Ngu,Q111021199,Minister of National Education,2003-02-11,2004-06-15,Q112128529-9ED098B5-30A1-4736-881C-6AB423C9EF15
Q112128530,Jaime Ela Ndong,Q111021198,Minister of Commerce,2004-06-15,2008-07-15,Q112128530-FF40D317-5B93-4CB6-9237-56209B75E053
Q112128540,Angel Masie Mibuy,Q112162690,Minister of Relations with Parliament and Legal Affairs of the Government,2006-08-22,2016-06-24,Q112128540-0E8EFD3A-BCEF-4293-AB89-0620F2CEB1F9
Q112128540,Angel Masie Mibuy,Q111021203,Minister of Justice,2004-06-15,2006-08-22,Q112128540-A8C7806D-011D-4BAB-B0B2-011F9EA12B58
Q112128540,Angel Masie Mibuy,Q112162701,Vice-Prime Minister,2016-06-24,2019-12-31,Q112128540-BF7A4BFB-D3CA-4EBF-BFD0-C45DF086A08A
Q112128541,Lucas Nguema Esono Mbang,Q112128225,Minister of Information,1999-07-22,2003-02-11,Q112128541-699B0619-A631-4B09-98F7-4AD724D7E0A9
Q112128541,Lucas Nguema Esono Mbang,Q112162701,Vice-Prime Minister,2013-09-04,2015-04-15,Q112128541-B6E0DE06-5CD4-4228-B634-43BF2C094AE9
Q112128541,Lucas Nguema Esono Mbang,Q112162699,Minister of Youth and Sports,2003-02-11,2004-06-15,Q112128541-CD5664F1-303B-4FD2-9BDD-3DC2D4542C93
Q112128545,Fortunato Ofa Mbo Nchama,Q112162665,Minister of Administrative Coordination,2006-08-22,2008-07-15,Q112128545-1738C33D-4AFC-40E4-9AB4-E66EE7501F3F
Q112128545,Fortunato Ofa Mbo Nchama,Q112162681,Minister of Planning,1999-07-22,2003-02-11,Q112128545-36C0FE7E-E1E9-41BA-959A-6544FC7A7B97
Q112128545,Fortunato Ofa Mbo Nchama,Q112162674,Minister of Fishing,2003-02-11,2006-08-22,Q112128545-E68CBB99-AD00-44B3-A7EA-5CF6DDE8327F
